result,datatype,encoding,compressor,column,row,start_time/ms,end_time/ms,import_elapsed_time/s,query_elapsed_time/s,data_size/b,compression_rate,tsfile_count
result,BOOLEAN,PLAIN,ZSTD,1,10w,1682599539307,1682599548510,3.009,3.345,4239,482.67068,1
result,BOOLEAN,PLAIN,ZSTD,1,100w,1682599574626,1682599611386,11.168,22.675,42816,477.8597,11
result,BOOLEAN,PLAIN,ZSTD,1,1000w,1682599637495,1682599941747,86.47,213.735,429342,476.54327,115
result,BOOLEAN,PLAIN,ZSTD,3,10w,1682599967860,1682599980954,3.099,7.301,12004,262.08872,1
result,BOOLEAN,PLAIN,ZSTD,3,100w,1682600007067,1682600085650,13.613,62.113,120832,260.36243,11
result,BOOLEAN,PLAIN,ZSTD,3,1000w,1682600111745,1682600782866,109.151,557.284,1209122,260.18889,115
result,BOOLEAN,PLAIN,ZSTD,5,10w,1682600808969,1682600826756,3.593,11.333,19842,213.94945,1
result,BOOLEAN,PLAIN,ZSTD,5,100w,1682600852869,1682600971009,16.115,99.104,199929,212.3263,11
result,BOOLEAN,PLAIN,ZSTD,5,1000w,1682600997145,1682602142604,142.42,997.959,2002338,212.00226,115
result,BOOLEAN,PLAIN,LZMA2,1,10w,1682602168723,1682602177675,2.67,3.503,4999,409.29006,1
result,BOOLEAN,PLAIN,LZMA2,1,100w,1682602203771,1682602241237,11.574,22.972,50549,404.75659,11
result,BOOLEAN,PLAIN,LZMA2,1,1000w,1682602267350,1682602578895,88.995,218.38,506438,403.9982,115
result,BOOLEAN,PLAIN,LZMA2,3,10w,1682602605013,1682602619296,3.117,7.749,14501,216.95835,1
result,BOOLEAN,PLAIN,LZMA2,3,100w,1682602645398,1682602726994,13.927,64.36,145959,215.54075,11
result,BOOLEAN,PLAIN,LZMA2,3,1000w,1682602753101,1682603442225,114.211,570.177,1459614,215.53651,115
result,BOOLEAN,PLAIN,LZMA2,5,10w,1682603468336,1682603486893,3.617,10.456,24041,176.58105,1
result,BOOLEAN,PLAIN,LZMA2,5,100w,1682603514796,1682603636876,16.23,102.383,241907,175.48142,11
result,BOOLEAN,PLAIN,LZMA2,5,1000w,1682603663012,1682604796094,135.929,990.458,2419364,175.45941,115
result,BOOLEAN,RLE,UNCOMPRESSED,1,10w,1682604822206,1682604831285,2.814,3.578,33438,61.18913,1
result,BOOLEAN,RLE,UNCOMPRESSED,1,100w,1682604857402,1682604897036,11.254,25.472,334769,61.1169,11
result,BOOLEAN,RLE,UNCOMPRESSED,1,1000w,1682604923139,1682605257950,87.159,243.562,3348836,61.09587,115
result,BOOLEAN,RLE,UNCOMPRESSED,3,10w,1682605284072,1682605298123,3.18,8.322,98668,31.88588,1
result,BOOLEAN,RLE,UNCOMPRESSED,3,100w,1682605324244,1682605406926,13.737,66.124,981285,32.06012,11
result,BOOLEAN,RLE,UNCOMPRESSED,3,1000w,1682605433033,1682606249700,114.155,697.908,9767174,32.20994,115
result,BOOLEAN,RLE,UNCOMPRESSED,5,10w,1682606275812,1682606294860,3.36,12.965,162780,26.07931,1
result,BOOLEAN,RLE,UNCOMPRESSED,5,100w,1682606320973,1682606448246,16.005,108.666,1622661,26.16085,11
result,BOOLEAN,RLE,UNCOMPRESSED,5,1000w,1682606474371,1682607643202,133.961,1029.907,16180580,26.23517,115
result,BOOLEAN,RLE,SNAPPY,1,10w,1682607669310,1682607678370,2.939,3.277,7189,284.60801,1
result,BOOLEAN,RLE,SNAPPY,1,100w,1682607704486,1682607741340,11.426,22.644,72560,281.97419,11
result,BOOLEAN,RLE,SNAPPY,1,1000w,1682607767452,1682608071243,87.788,211.948,727783,281.12782,115
result,BOOLEAN,RLE,SNAPPY,3,10w,1682608097358,1682608110651,3.19,7.425,22198,141.73038,1
result,BOOLEAN,RLE,SNAPPY,3,100w,1682608136757,1682608215682,13.976,62.054,229436,137.11942,11
result,BOOLEAN,RLE,SNAPPY,3,1000w,1682608241801,1682608924120,120.015,556.698,2344517,134.18548,115
result,BOOLEAN,RLE,SNAPPY,5,10w,1682608950234,1682608966545,3.291,10.268,38327,110.76304,1
result,BOOLEAN,RLE,SNAPPY,5,100w,1682608992662,1682609103284,15.73,91.997,391425,108.45044,11
result,BOOLEAN,RLE,SNAPPY,5,1000w,1682609129396,1682610243739,134.824,974.39,3966171,107.03024,115
result,BOOLEAN,RLE,LZ4,1,10w,1682610269860,1682610278912,2.83,3.38,6683,306.15607,1
result,BOOLEAN,RLE,LZ4,1,100w,1682610305049,1682610340448,11.289,21.311,67632,302.52012,11
result,BOOLEAN,RLE,LZ4,1,1000w,1682610366564,1682610663098,86.489,205.931,679079,301.29048,115
result,BOOLEAN,RLE,LZ4,3,10w,1682610689212,1682610701932,3.09,6.831,21302,147.69097,1
result,BOOLEAN,RLE,LZ4,3,100w,1682610728062,1682610801900,13.617,57.321,224175,140.33729,11
result,BOOLEAN,RLE,LZ4,3,1000w,1682610828020,1682611463749,110.735,520.341,2318292,135.7034,115
result,BOOLEAN,RLE,LZ4,5,10w,1682611489858,1682611505525,3.426,9.446,37622,112.83783,1
result,BOOLEAN,RLE,LZ4,5,100w,1682611531649,1682611640372,15.703,90.082,388481,109.27223,11
result,BOOLEAN,RLE,LZ4,5,1000w,1682611666483,1682612646397,137.807,836.365,3964332,107.07988,115
result,BOOLEAN,RLE,GZIP,1,10w,1682612672519,1682612681327,2.833,3.249,5350,382.43701,1
result,BOOLEAN,RLE,GZIP,1,100w,1682612707450,1682612743372,11.343,21.755,54074,378.37108,11
result,BOOLEAN,RLE,GZIP,1,1000w,1682612769485,1682613063478,84.497,205.416,543522,376.43377,115
result,BOOLEAN,RLE,GZIP,3,10w,1682613089615,1682613102664,3.13,7.176,16333,192.62254,1
result,BOOLEAN,RLE,GZIP,3,100w,1682613128828,1682613204118,13.651,58.767,168536,186.66697,11
result,BOOLEAN,RLE,GZIP,3,1000w,1682613230226,1682613921730,109.765,577.045,1719539,182.95607,115
result,BOOLEAN,RLE,GZIP,5,10w,1682613947846,1682613963879,3.273,10.025,28053,151.32677,1
result,BOOLEAN,RLE,GZIP,5,100w,1682613990002,1682614095098,15.884,86.227,286544,148.14538,11
result,BOOLEAN,RLE,GZIP,5,1000w,1682614121208,1682615107861,133.289,848.221,2900314,146.36352,115
result,BOOLEAN,RLE,ZSTD,1,10w,1682615133974,1682615143069,2.931,3.352,4025,508.33267,1
result,BOOLEAN,RLE,ZSTD,1,100w,1682615169202,1682615205057,11.155,21.707,40706,502.62956,11
result,BOOLEAN,RLE,ZSTD,1,1000w,1682615231174,1682615524667,85.214,204.185,408219,501.20166,115
result,BOOLEAN,RLE,ZSTD,3,10w,1682615550775,1682615563682,3.179,7.007,12325,255.26223,1
result,BOOLEAN,RLE,ZSTD,3,100w,1682615589809,1682615665386,13.551,59.074,128099,245.59214,11
result,BOOLEAN,RLE,ZSTD,3,1000w,1682615691504,1682616333054,111.631,525.276,1312568,239.6829,115
result,BOOLEAN,RLE,ZSTD,5,10w,1682616359186,1682616375466,3.364,10.018,21365,198.69764,1
result,BOOLEAN,RLE,ZSTD,5,100w,1682616401599,1682616516045,15.973,95.419,218888,193.9356,11
result,BOOLEAN,RLE,ZSTD,5,1000w,1682616542154,1682617517685,131.84,838.521,2220313,191.18934,115
result,BOOLEAN,RLE,LZMA2,1,10w,1682617543806,1682617552642,2.836,3.292,4832,423.43522,1
result,BOOLEAN,RLE,LZMA2,1,100w,1682617578749,1682617615003,11.61,21.724,48872,418.64542,11
result,BOOLEAN,RLE,LZMA2,1,1000w,1682617641119,1682617946372,88.125,213.053,489869,417.66276,115
result,BOOLEAN,RLE,LZMA2,3,10w,1682617972494,1682617986300,3.192,7.144,14476,217.33262,1
result,BOOLEAN,RLE,LZMA2,3,100w,1682618012405,1682618085418,14.299,55.401,148460,211.90965,11
result,BOOLEAN,RLE,LZMA2,3,1000w,1682618111536,1682618770364,112.979,540.89,1504987,209.03842,115
result,BOOLEAN,RLE,LZMA2,5,10w,1682618796473,1682618814334,3.388,10.08,24608,172.51199,1
result,BOOLEAN,RLE,LZMA2,5,100w,1682618840442,1682618956023,16.595,95.336,250240,169.63785,11
result,BOOLEAN,RLE,LZMA2,5,1000w,1682618982145,1682620070514,135.196,947.442,2522709,168.27156,115

result,INT32,PLAIN,UNCOMPRESSED,1,10w,1682692909986,1682692919934,3.257,3.812,214564,8.93924,1
result,INT32,PLAIN,UNCOMPRESSED,1,100w,1682692946064,1682692988188,12.706,26.454,2146056,8.93734,11
result,INT32,PLAIN,UNCOMPRESSED,1,1000w,1682693014312,1682693359746,89.858,251.031,21461532,8.93692,115
result,INT32,PLAIN,UNCOMPRESSED,3,10w,1682693385863,1682693400805,3.207,9.012,643165,4.28367,1
result,INT32,PLAIN,UNCOMPRESSED,3,100w,1682693426936,1682693518756,14.216,74.702,6432371,4.28304,11
result,INT32,PLAIN,UNCOMPRESSED,3,1000w,1682693544868,1682694339689,117.121,672.3,64323991,4.28301,115
result,INT32,PLAIN,UNCOMPRESSED,5,10w,1682694365799,1682694385016,3.53,12.974,1070764,3.34731,1
result,INT32,PLAIN,UNCOMPRESSED,5,100w,1682694411125,1682694540673,16.865,109.632,10708664,3.34684,11
result,INT32,PLAIN,UNCOMPRESSED,5,1000w,1682694566783,1682695906858,139.308,1195.388,107086220,3.34684,115
result,INT32,PLAIN,SNAPPY,1,10w,1682695932998,1682695941948,2.831,3.394,17344,110.5885,1
result,INT32,PLAIN,SNAPPY,1,100w,1682695968056,1682696005689,11.317,23.269,174303,110.03854,11
result,INT32,PLAIN,SNAPPY,1,1000w,1682696031798,1682696346495,87.704,222.358,1744974,109.9157,115
result,INT32,PLAIN,SNAPPY,3,10w,1682696372609,1682696385984,3.067,7.545,51534,53.46239,1
result,INT32,PLAIN,SNAPPY,3,100w,1682696412104,1682696488640,14.06,59.565,517431,53.24407,11
result,INT32,PLAIN,SNAPPY,3,1000w,1682696514753,1682697264837,113.749,630.933,5177652,53.20947,115
result,INT32,PLAIN,SNAPPY,5,10w,1682697290960,1682697308026,3.56,10.821,85684,41.83062,1
result,INT32,PLAIN,SNAPPY,5,100w,1682697334138,1682697451635,17.534,96.797,860162,41.66682,11
result,INT32,PLAIN,SNAPPY,5,1000w,1682697477738,1682698572967,139.108,950.567,8606333,41.64378,115
result,INT32,PLAIN,LZ4,1,10w,1682698599079,1682698608125,2.861,3.32,9104,210.68113,1
result,INT32,PLAIN,LZ4,1,100w,1682698634237,1682698671992,12.181,22.535,92034,208.40169,11
result,INT32,PLAIN,LZ4,1,1000w,1682698698096,1682699003326,89.817,211.151,922790,207.84798,115
result,INT32,PLAIN,LZ4,3,10w,1682699029441,1682699042509,3.281,7.015,26833,102.67629,1
result,INT32,PLAIN,LZ4,3,100w,1682699068617,1682699140109,13.792,54.838,270833,101.72362,11
result,INT32,PLAIN,LZ4,3,1000w,1682699166227,1682699874330,114.522,588.81,2713285,101.53748,115
result,INT32,PLAIN,LZ4,5,10w,1682699900444,1682699916821,3.518,10.107,44551,80.45128,1
result,INT32,PLAIN,LZ4,5,100w,1682699942932,1682700059085,16.006,97.246,449520,79.7299,11
result,INT32,PLAIN,LZ4,5,1000w,1682700085184,1682701103062,138.977,873.23,4502655,79.59752,115
result,INT32,PLAIN,GZIP,1,10w,1682701129191,1682701137954,2.744,3.254,8044,238.44331,1
result,INT32,PLAIN,GZIP,1,100w,1682701164055,1682701203175,12.27,23.857,81256,236.04458,11
result,INT32,PLAIN,GZIP,1,1000w,1682701229290,1682701537413,86.936,217.058,814244,235.55597,115
result,INT32,PLAIN,GZIP,3,10w,1682701563520,1682701576439,3.353,6.825,23674,116.37678,1
result,INT32,PLAIN,GZIP,3,100w,1682701602565,1682701682899,14.182,63.287,238640,115.4463,11
result,INT32,PLAIN,GZIP,3,1000w,1682701709015,1682702375105,113.575,547.977,2388754,115.33214,115
result,INT32,PLAIN,GZIP,5,10w,1682702401193,1682702417578,3.459,10.189,39252,91.31178,1
result,INT32,PLAIN,GZIP,5,100w,1682702443678,1682702560012,15.923,97.746,395479,90.62471,11
result,INT32,PLAIN,GZIP,5,1000w,1682702586123,1682703612197,136.071,885.072,3957912,90.55284,115
result,INT32,PLAIN,ZSTD,1,10w,1682703638313,1682703647373,2.968,3.385,5761,332.93508,1
result,INT32,PLAIN,ZSTD,1,100w,1682703673492,1682703710144,11.371,22.44,58242,329.31628,11
result,INT32,PLAIN,ZSTD,1,1000w,1682703736244,1682704040429,86.192,213.574,583183,328.88483,115
result,INT32,PLAIN,ZSTD,3,10w,1682704066543,1682704079294,3.19,6.852,16802,163.97494,1
result,INT32,PLAIN,ZSTD,3,100w,1682704105395,1682704183937,14.274,61.306,169435,162.59986,11
result,INT32,PLAIN,ZSTD,3,1000w,1682704210037,1682704890964,113.059,563.061,1694234,162.61042,115
result,INT32,PLAIN,ZSTD,5,10w,1682704917083,1682704934661,3.498,11.308,27830,128.78818,1
result,INT32,PLAIN,ZSTD,5,100w,1682704960765,1682705072232,16.442,92.125,280491,127.77656,11
result,INT32,PLAIN,ZSTD,5,1000w,1682705098353,1682706135439,140.083,891.444,2803928,127.82075,115
result,INT32,PLAIN,LZMA2,1,10w,1682706161556,1682706170620,2.958,3.393,6895,278.17825,1
result,INT32,PLAIN,LZMA2,1,100w,1682706196745,1682706234494,11.811,22.856,69781,274.86048,11
result,INT32,PLAIN,LZMA2,1,1000w,1682706260597,1682706570956,87.115,219.119,699176,274.32297,115
result,INT32,PLAIN,LZMA2,3,10w,1682706597086,1682706611256,3.191,7.149,20196,136.41845,1
result,INT32,PLAIN,LZMA2,3,100w,1682706637373,1682706719861,14.781,64.167,203776,135.198,11
result,INT32,PLAIN,LZMA2,3,1000w,1682706745965,1682707442566,116.146,575.365,2038453,135.15156,115
result,INT32,PLAIN,LZMA2,5,10w,1682707468689,1682707488802,3.707,11.383,33492,107.01585,1
result,INT32,PLAIN,LZMA2,5,100w,1682707514916,1682707630910,16.587,95.648,337536,106.18179,11
result,INT32,PLAIN,LZMA2,5,1000w,1682707657022,1682708805462,137.933,1004.478,3374755,106.20035,115
result,INT32,RLE,UNCOMPRESSED,1,10w,1682708831574,1682708841174,3.096,3.683,157470,12.18035,1
result,INT32,RLE,UNCOMPRESSED,1,100w,1682708867282,1682708907541,11.818,25.391,1575128,12.17681,11
result,INT32,RLE,UNCOMPRESSED,1,1000w,1682708933650,1682709265440,88.16,239.788,15752140,12.17613,115
result,INT32,RLE,UNCOMPRESSED,3,10w,1682709291565,1682709305951,3.237,8.438,471888,5.83848,1
result,INT32,RLE,UNCOMPRESSED,3,100w,1682709332068,1682709419720,14.105,70.643,4719642,5.83733,11
result,INT32,RLE,UNCOMPRESSED,3,1000w,1682709445829,1682710209851,115.869,643.62,47196390,5.83731,115
result,INT32,RLE,UNCOMPRESSED,5,10w,1682710235975,1682710255170,3.525,12.956,786306,4.55825,1
result,INT32,RLE,UNCOMPRESSED,5,100w,1682710281275,1682710408186,15.852,108.181,7864156,4.55741,11
result,INT32,RLE,UNCOMPRESSED,5,1000w,1682710434300,1682711683632,141.039,1103.462,78640640,4.55744,115
result,INT32,RLE,SNAPPY,1,10w,1682711709750,1682711718609,2.733,3.353,17197,111.5337,1
result,INT32,RLE,SNAPPY,1,100w,1682711744732,1682711781327,11.198,22.523,172996,110.86988,11
result,INT32,RLE,SNAPPY,1,1000w,1682711807438,1682712110897,87.019,212.314,1732777,110.6894,115
result,INT32,RLE,SNAPPY,3,10w,1682712137014,1682712149740,3.211,6.661,51176,53.83627,1
result,INT32,RLE,SNAPPY,3,100w,1682712175873,1682712254186,14.126,61.303,514559,53.54124,11
result,INT32,RLE,SNAPPY,3,1000w,1682712280319,1682712955697,116.864,554.457,5152182,53.47251,115
result,INT32,RLE,SNAPPY,5,10w,1682712981811,1682712998191,3.455,10.176,85164,42.08592,1
result,INT32,RLE,SNAPPY,5,100w,1682713024305,1682713137584,17.64,92.78,855770,41.88065,11
result,INT32,RLE,SNAPPY,5,1000w,1682713163709,1682714232947,141.358,923.218,8564775,41.84584,115
result,INT32,RLE,LZ4,1,10w,1682714259055,1682714268487,3.08,3.391,11738,163.40424,1
result,INT32,RLE,LZ4,1,100w,1682714294615,1682714330659,11.48,21.721,118501,161.8555,11
result,INT32,RLE,LZ4,1,1000w,1682714356773,1682714651241,91.801,198.427,1187685,161.49066,115
result,INT32,RLE,LZ4,3,10w,1682714677357,1682714689424,3.144,6.19,34766,79.24717,1
result,INT32,RLE,LZ4,3,100w,1682714715534,1682714782254,13.969,49.909,350447,78.61419,11
result,INT32,RLE,LZ4,3,1000w,1682714808370,1682715418794,110.886,494.899,3509327,78.50511,115
result,INT32,RLE,LZ4,5,10w,1682715444893,1682715460540,3.401,9.491,57786,62.02497,1
result,INT32,RLE,LZ4,5,100w,1682715486679,1682715597236,16.297,91.288,582369,61.54204,11
result,INT32,RLE,LZ4,5,1000w,1682715623346,1682716653181,137.651,887.112,5831153,61.463,115
result,INT32,RLE,GZIP,1,10w,1682716679300,1682716688042,2.75,3.276,9435,203.28945,1
result,INT32,RLE,GZIP,1,100w,1682716714165,1682716750672,11.41,22.284,95494,200.85069,11
result,INT32,RLE,GZIP,1,1000w,1682716776804,1682717072053,87.656,203.488,959123,199.97439,115
result,INT32,RLE,GZIP,3,10w,1682717098166,1682717110593,3.213,6.426,27907,98.72426,1
result,INT32,RLE,GZIP,3,100w,1682717136713,1682717206229,14.078,52.554,281394,97.90578,11
result,INT32,RLE,GZIP,3,1000w,1682717232361,1682717870277,116.854,515.41,2818899,97.73323,115
result,INT32,RLE,GZIP,5,10w,1682717896403,1682717912383,3.491,9.773,46347,77.33316,1
result,INT32,RLE,GZIP,5,100w,1682717938503,1682718044710,16.768,86.375,467181,76.71579,11
result,INT32,RLE,GZIP,5,1000w,1682718070815,1682719078910,139.245,863.484,4678264,76.60965,115
result,INT32,RLE,ZSTD,1,10w,1682719105025,1682719113948,2.87,3.221,7631,251.34805,1
result,INT32,RLE,ZSTD,1,100w,1682719140074,1682719176650,11.702,21.571,77070,248.86515,11
result,INT32,RLE,ZSTD,1,1000w,1682719202766,1682719503444,89.239,206.92,771673,248.55092,115
result,INT32,RLE,ZSTD,3,10w,1682719529572,1682719542748,3.312,6.328,22462,122.65609,1
result,INT32,RLE,ZSTD,3,100w,1682719568864,1682719639564,14.281,52.625,226351,121.71407,11
result,INT32,RLE,ZSTD,3,1000w,1682719665666,1682720298404,115.741,511.397,2263672,121.70496,115
result,INT32,RLE,ZSTD,5,10w,1682720324517,1682720342423,3.64,9.721,37281,96.13919,1
result,INT32,RLE,ZSTD,5,100w,1682720368545,1682720476997,16.622,87.389,375559,95.43152,11
result,INT32,RLE,ZSTD,5,1000w,1682720503102,1682721584436,143.309,931.862,3755182,95.44149,115
result,INT32,RLE,LZMA2,1,10w,1682721610574,1682721619409,2.826,3.259,8540,224.5945,1
result,INT32,RLE,LZMA2,1,100w,1682721645520,1682721682905,11.846,22.532,86226,222.43914,11
result,INT32,RLE,LZMA2,1,1000w,1682721709118,1682722008769,88.268,207.161,862625,222.34463,115
result,INT32,RLE,LZMA2,3,10w,1682722034883,1682722048229,3.279,6.612,25140,109.59033,1
result,INT32,RLE,LZMA2,3,100w,1682722074345,1682722147941,14.551,55.591,253354,108.74153,11
result,INT32,RLE,LZMA2,3,1000w,1682722174044,1682722833060,114.542,539.42,2532543,108.78398,115
result,INT32,RLE,LZMA2,5,10w,1682722859173,1682722878370,3.7,10.953,41732,85.88529,1
result,INT32,RLE,LZMA2,5,100w,1682722904500,1682723021599,16.206,97.417,420382,85.25618,11
result,INT32,RLE,LZMA2,5,1000w,1682723047722,1682724056997,135.909,867.139,4201661,85.29964,115
result,INT32,TS_2DIFF,UNCOMPRESSED,1,10w,1682724083106,1682724092827,2.89,3.942,180879,10.60398,1
result,INT32,TS_2DIFF,UNCOMPRESSED,1,100w,1682724118943,1682724162117,12.109,28.129,1809218,10.60129,11
result,INT32,TS_2DIFF,UNCOMPRESSED,1,1000w,1682724188239,1682724549232,90.655,266.221,18093190,10.60068,115
result,INT32,TS_2DIFF,UNCOMPRESSED,3,10w,1682724575345,1682724590881,3.316,9.479,542025,5.08298,1
result,INT32,TS_2DIFF,UNCOMPRESSED,3,100w,1682724616995,1682724714453,14.151,80.408,5421018,5.08209,11
result,INT32,TS_2DIFF,UNCOMPRESSED,3,1000w,1682724740563,1682725583573,123.689,714.698,54210502,5.08204,115
result,INT32,TS_2DIFF,UNCOMPRESSED,5,10w,1682725609689,1682725630585,3.548,14.552,903163,3.96846,1
result,INT32,TS_2DIFF,UNCOMPRESSED,5,100w,1682725656700,1682725795774,16.685,119.386,9032730,3.96781,11
result,INT32,TS_2DIFF,UNCOMPRESSED,5,1000w,1682725821902,1682727256047,143.921,1285.509,90326894,3.96781,115
result,INT32,TS_2DIFF,SNAPPY,1,10w,1682727282175,1682727291331,2.825,3.576,25014,76.67906,1
result,INT32,TS_2DIFF,SNAPPY,1,100w,1682727317452,1682727358960,12.005,26.401,250383,76.60284,11
result,INT32,TS_2DIFF,SNAPPY,1,1000w,1682727385064,1682727719337,90.102,239.844,2499218,76.74403,115
result,INT32,TS_2DIFF,SNAPPY,3,10w,1682727745432,1682727758837,3.197,7.453,76292,36.11309,1
result,INT32,TS_2DIFF,SNAPPY,3,100w,1682727784979,1682727866705,14.29,64.329,763737,36.07281,11
result,INT32,TS_2DIFF,SNAPPY,3,1000w,1682727892814,1682728714554,115.426,701.776,7627272,36.1204,115
result,INT32,TS_2DIFF,SNAPPY,5,10w,1682728740671,1682728759327,3.567,12.319,126123,28.41853,1
result,INT32,TS_2DIFF,SNAPPY,5,100w,1682728785439,1682728912778,16.893,107.471,1264620,28.34071,11
result,INT32,TS_2DIFF,SNAPPY,5,1000w,1682728938882,1682730091567,134.002,1014.012,12646478,28.33992,115
result,INT32,TS_2DIFF,LZ4,1,10w,1682730117676,1682730127293,2.993,3.611,20782,92.29352,1
result,INT32,TS_2DIFF,LZ4,1,100w,1682730153409,1682730191346,11.444,23.599,208629,91.93374,11
result,INT32,TS_2DIFF,LZ4,1,1000w,1682730217436,1682730532179,86.477,224.481,2085334,91.9757,115
result,INT32,TS_2DIFF,LZ4,3,10w,1682730558291,1682730571714,3.319,7.227,63560,43.34679,1
result,INT32,TS_2DIFF,LZ4,3,100w,1682730597840,1682730681085,14.373,65.969,638325,43.16002,11
result,INT32,TS_2DIFF,LZ4,3,1000w,1682730707194,1682731444904,114.559,618.486,6385654,43.1436,115
result,INT32,TS_2DIFF,LZ4,5,10w,1682731471028,1682731488233,3.486,10.567,105567,33.9519,1
result,INT32,TS_2DIFF,LZ4,5,100w,1682731514346,1682731628439,16.079,95.144,1060710,33.78888,11
result,INT32,TS_2DIFF,LZ4,5,1000w,1682731654556,1682732738898,139.753,939.38,10616142,33.75993,115
result,INT32,TS_2DIFF,GZIP,1,10w,1682732765009,1682732774498,2.972,3.658,14588,131.48074,1
result,INT32,TS_2DIFF,GZIP,1,100w,1682732800624,1682732838684,11.607,23.45,146876,130.58662,11
result,INT32,TS_2DIFF,GZIP,1,1000w,1682732864794,1682733186967,89.176,228.741,1470381,130.44241,115
result,INT32,TS_2DIFF,GZIP,3,10w,1682733213083,1682733226856,3.582,7.274,45183,60.97676,1
result,INT32,TS_2DIFF,GZIP,3,100w,1682733252977,1682733338899,13.868,69.205,454070,60.67371,11
